id,duration,title,channel,id,viewing,user-id,start,duration,start,duration
,,,,,,,,,801,1
,,,,,,,,,829,2
,,,,,,,,,912,3
,,,,,,,,,917,4
,,,,,,,,,1450,2
,,,,,,,,,1453,2
,,,,,,255,0,1694,273,15
,,,,,,262,0,1694,82,26
,,,,,,267,0,1694,1239,17
,,,,,,,,,1261,7
,,,,,,280,0,1694,16,1
,,,,,,283,0,1694,76,4
,,,,,,,,,81,14
,,,,,,,,,96,11
,,,,,,,,,111,17
,,,,,,,,,130,83
,,,,,,286,0,1694,20,13
,,,,,,,,,65,33
,,,,,,,,,233,12
,,,,,,304,0,1694,26,2
,,,,,,,,,29,1
,,,,,,,,,39,2
,,,,,,,,,54,2
,,,,,,312,0,1694,24,3
,,,,,,,,,94,4
,,,,,,314,0,1694,89,2
,,,,,,322,0,1694,28,12
,,,,,,329,0,1694,6,2
,,,,,,,,,13,2
,,,,,,,,,26,3
,,,,,,,,,36,2
,,,,,,,,,40,3
,,,,,,,,,56,4
,,,,,,,,,66,3
,,,,,,,,,71,2
,,,,,,,,,80,3
,,,,,,,,,108,2
,,,,,,,,,139,6
,,,,,,,,,158,2
,,,,,,,,,194,2
,,,,,,,,,222,2
,,,,,,,,,237,4
,,,,,,,,,242,1
,,,,,,,,,249,3
,,,,,,,,,258,2
,,,,,,,,,272,2
,,,,,,,,,285,2
,,,,,,330,0,1694,20,1
,,,,,,,,,25,1
,,,,,,,,,28,1
,,,,,,,,,37,1
,,,,,,,,,268,1
,,,,,,331,0,1694,13,1
,,,,,,,,,23,1
,,,,,,,,,26,1
,,,,,,,,,34,3
,,,,,,,,,43,4
,,,,,,,,,84,25
,,,,,,,,,111,12
,,,,,,,,,138,13
,,,,,,,,,152,1
,,,,,,,,,154,2
,,,,,,,,,179,1
,,,,,,,,,189,1
,,,,,,,,,1020,5
,,,,,,,,,1027,4
,,,,,,,,,1032,1
,,,,,,,,,1034,4
,,,,,,341,0,1694,92,16
,,,,,,,,,160,3
,,,,,,,,,177,1
,,,,,,,,,201,8
,,,,,,,,,241,9
,,,,,,,,,281,2
,,,,,,,,,324,3
,,,,,,,,,337,3
,,,,,,347,0,1694,51,4
,,,,,,,,,123,6
,,,,,,350,0,1694,33,1
,,,,,,,,,94,1
